name,H,lambda,runtime_s,Overflow_m3,PeakQ_m3s,Load,Effort,Smooth,PeakQ_ratio,Load_ratio,Smooth_ratio,Effort_ratio
"LAO-term(H=24,λ=0.5)",24,0.5,38.7316629079869,0.0,0.3020578276312049,1138.7544222125234,31.2625,21.35241700003882,0.6533135522397892,1.838895641636531,1.08962455441166,0.7193810044296151
"LAO-term(H=24,λ=1.0)",24,1.0,38.54570784297539,0.0,0.4583599521858125,928.1998569579393,81.10999999999999,25.02131609026658,0.991375628022418,1.4988856580783119,1.2768503160836762,1.8664212161307019
"LAO-term(H=48,λ=0.5)",48,0.5,65.81112863396993,0.0,0.4568525282388342,791.0016423866123,99.685,26.492052941115887,0.9881152573137532,1.2773337642772427,1.3519027556159582,2.293850313524708
"LAO-term(H=48,λ=0.2)",48,0.2,66.34731812099926,0.0,0.45684698177543254,791.1774240444738,66.315,26.501017026422314,0.9881032610025311,1.277617621901166,1.3523601973874309,1.52597365241903
"LAO-term(H=48,λ=0.1)",48,0.1,66.04836400900967,0.0,0.4568463263425588,791.1982290463058,47.925,26.5028079781861,0.9881018433826589,1.2776512184575846,1.3524515905546581,1.1028015877581543
"LAO-term(H=48,λ=2.0)",48,2.0,66.33657701697666,0.0,0.4568344387985871,791.2462521885695,77.33500000000001,26.50423185343882,0.9880761321020063,1.277728767703747,1.352524251623322,1.7795547373871023
"LAO-term(H=48,λ=1.0)",48,1.0,66.3793065030477,0.0,0.45683809847911677,791.5978093930341,80.26999999999998,26.545433203665844,0.988084047536298,1.2782964730829451,1.3546267772007403,1.8470919864235167
"LAO-term(H=24,λ=2.0)",24,2.0,38.946354313986376,0.0,0.46027428289262134,849.9865104100813,203.4325,28.359866498585028,0.9955160874968004,1.372584342114841,1.4472182187449176,4.681182764770178
"LAO-term(H=32,λ=0.1)",32,0.1,48.23712784994859,0.0,0.45675349192289516,805.0635863785045,55.6825,28.90922765547331,0.9879010540670626,1.300041423641925,1.475252394256963,1.2813093252027843
"LAO-term(H=32,λ=1.0)",32,1.0,48.05384144303389,0.0,0.45673809143536453,801.7113656175736,90.58500000000001,29.3877409043208,0.9878677447259548,1.2946281545236349,1.4996711654693544,2.084450325030202
"LAO-term(H=32,λ=2.0)",32,2.0,47.84749209100846,0.0,0.45820110999070146,799.1027057210307,90.10249999999999,29.435215570919947,0.9910320720896107,1.2904156103431748,1.5020938215292676,2.073347523442443
"LAO-term(H=32,λ=0.5)",32,0.5,48.15443179698195,0.0,0.4567450485055221,798.6486450606163,87.34750000000001,29.457064778489453,0.9878827920043302,1.2896823792327723,1.5032087975557347,2.0099522522004256
"LAO-term(H=32,λ=0.2)",32,0.2,48.03091704699909,0.0,0.4567448320084451,797.9787780671252,78.3725,29.50244725397271,0.9878823237480512,1.2886006574227145,1.5055246880531172,1.8034286371742507
"LAO-term(H=24,λ=0.1)",24,0.1,38.76488387899008,0.0,0.46027809155661936,800.6381600510443,57.949999999999996,31.415243126156497,0.9955243251638238,1.2928951091888592,1.6031356212746317,1.3334867399183108
"LAO-term(H=24,λ=0.2)",24,0.2,39.08688087097835,0.0,0.4602776107869968,800.243304203676,116.035,31.51539059424094,0.995523285318863,1.292257483830277,1.608246196826185,2.6700799631824195
